Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2"
"SERVO1, SERVO2",2,"Positional Micro Servo"
"PIR1",1,"-11.48305906553 , -217.4940390238229 , -231.74895583715613 , -254.64100714684014  PIR Sensor"
"PIR2",1,"340.2381828941643 , -235.83025982152512 , -235.83025982152512  PIR Sensor"
"PIR3",1,"-200.36295066172192 , -194.70108321196506 , -67.33383979144403 , -241.02780064564354  PIR Sensor"
"PIR4",1,"-36.055074833557654 , -207.38903070820493 , -207.38903070820493 , -250.45953663599744  PIR Sensor"
"Rpot1",1,"250 kΩ Potentiometer"
"R1",1,"1 kΩ Resistor"
